gene.name	gene.description	gene.family
Solyc03g114330	Peroxisomal membrane protein PEX14 (AHRD V3.3 *** A0A2G2ZCJ2_CAPAN)	
Solyc03g114370	RNA helicase (AHRD V3.11 *** tr|A0A1U8FW92|A0A1U8FW92_CAPAN)	
Solyc03g114460	Acetyl-coenzyme A synthetase (AHRD V3.3 *** A0A2S4Q6W4_CITFR)	
Solyc03g114500	Enolase (AHRD V3.3 *** A0A2G2WR88_CAPBA)	
Solyc03g114580	Uridine kinase (AHRD V3.3 *** A0A200QPY2_9MAGN)	
Solyc03g114590	Protein kinase domain (AHRD V3.3 *** A0A200QQM3_9MAGN)	
Solyc03g114690	Transducin family protein / WD-40 repeat family protein (AHRD V3.3 *** A0A2U1KSI2_ARTAN)	
Solyc03g114930	PsbP-like protein 1, chloroplastic (AHRD V3.3 *** A0A2G3A242_CAPAN)	
Solyc03g115020	Wiskott-aldrich syndrome family protein, putative (DUF1118) (AHRD V3.3 *** Q9SD79_ARATH)	
Solyc03g150155	Mitochondrial import receptor subunit TOM5-like protein (AHRD V3.3 *-* A0A1U8FW14_CAPAN)	
Solyc03g115040	Eukaryotic aspartyl protease family protein (AHRD V3.3 *** A0A2U1KXX4_ARTAN)	
Solyc03g115170	Unknown protein	
Solyc03g115190	Reticulon-like protein (AHRD V3.11 *-* tr|A0A2G3CWR7|A0A2G3CWR7_CAPCH)	
Solyc03g115220	Flavonoid 3'-monooxygenase (AHRD V3.11 *** tr|A0A2G2WR53|A0A2G2WR53_CAPBA)	
Solyc03g115380	UDP-glucose 6-dehydrogenase (AHRD V3.3 *** A0A2G3CZ71_CAPCH)	
Solyc03g115390	RNA helicase DEAH-box10	
Solyc03g115400	RNA helicase family protein (AHRD V3.3 *-* A0A2U1MR71_ARTAN)	
Solyc03g115470	SNAP25-like proteinous protein SNAP33 (AHRD V3.3 *** A0A2G3CZ65_CAPCH)	
Solyc03g115530	SNF2 domain-containing protein / helicase domain-containing protein / HNH endonuclease domain-containing protein (AHRD V3.11 *** tr|F4K856|F4K856_ARATH)	
Solyc03g115590	DUF863 domain-containing protein (AHRD V3.3 *-* A0A1Q3C321_CEPFO)	
Solyc03g115790	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2K3KXX2_TRIPR)	
Solyc03g115840	DNAJ heat shock N-terminal domain-containing protein (AHRD V3.11 *** tr|A0A2U1LKC9|A0A2U1LKC9_ARTAN)	
Solyc03g115950	BnaA06g38590D protein (AHRD V3.3 *** A0A078IDZ0_BRANA)	
Solyc03g115960	GDSL esterase/lipase (AHRD V3.3 *** A0A1U8G8B0_CAPAN)	
Solyc03g115990	Malate dehydrogenase (AHRD V3.3 *** O48906_MEDSA)	
Solyc03g116000	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A1U8G5F5_CAPAN)	
Solyc03g116040	Exostosin-like (AHRD V3.3 *** A0A200QSE2_9MAGN)	
Solyc03g116270	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (AHRD V3.3 *** A0A2U1QGX7_ARTAN)	
Solyc03g116390	Late embryogenesis abundant protein Dc3 (AHRD V3.11 *** tr|A0A1U8FUJ0|A0A1U8FUJ0_CAPAN)	
Solyc03g116480	F-box/kelch-repeat protein At5g15710-like (AHRD V3.3 *** A0A2I4DW48_9ROSI)	
Solyc03g116540	Pentatricopeptide repeat-containing protein, mitochondrial (AHRD V3.3 *** A0A2G3B795_CAPCH)	
Solyc03g116550	O-fucosyltransferase family protein (AHRD V3.3 *** A0A2U1MV70_ARTAN)	
Solyc03g116580	Pectin lyase-like superfamily protein (AHRD V3.3 *** A0A2U1PQE9_ARTAN)	
Solyc03g116590	Embryo-specific protein (AHRD V3.3 *** A0A2K3LFD9_TRIPR)	
Solyc03g116600	SNARE-like superfamily protein (AHRD V3.3 *** A0A2U1KJN4_ARTAN)	
Solyc03g116710	Protein LURP-one-related 5 (AHRD V3.3 *** A0A1U8GFL7_CAPAN)	
Solyc03g116750	TOPLESS (AHRD V3.3 *** A0A1D5XWZ6_WHEAT)	
Solyc03g116760	PTI1-like tyrosine-protein kinase (AHRD V3.3 *** A0A1U8G4E7_CAPAN)	
Solyc03g116790	Chaperone protein DnaJ (AHRD V3.3 *** A0A2G2WQT5_CAPBA)	
Solyc03g116800	homoserine O-acetyltransferase Chr3:5376356-5376972 REVERSE LENGTH=141 201606 (AHRD V3.11 *-* AT3G15900.1)	
Solyc03g116820	PX domain-containing protein (AHRD V3.3 *-* A0A1Q3AXP4_CEPFO)	
Solyc03g116930	Phospholipase-like protein (AHRD V3.3 *** A0A2U1PUP4_ARTAN)	
Solyc03g116990	Protein transport protein Sec.1	
Solyc03g117250	Flotillin-like protein 2 (AHRD V3.3 *** A0A2G3CZJ6_CAPCH)	
Solyc03g117260	DUF247 domain-containing protein (AHRD V3.3 *** A0A1Q3CSX8_CEPFO)	
Solyc03g117280	envelope glycoprotein B (AHRD V3.3 *** AT1G80540.1)	
Solyc03g117330	Proline-tRNA ligase (AHRD V3.3 *** X8JBM9_9HOMO)	
Solyc03g117340	Sterile alpha motif (SAM) domain-containing protein (AHRD V3.3 *** Q9M8M0_ARATH)	
Solyc03g117360	TOPLESS1	
Solyc03g117430	Cobalamin biosynthesis protein CobW (AHRD V3.3 *** A0A2T6CU39_9BACT)	
Solyc03g117440	RNA helicase DEAD14	
Solyc03g117470	Calcineurin subunit B (AHRD V3.3 *** B6U4N5_MAIZE)	
Solyc03g117540	ABC transporter C family member 13 (AHRD V3.3 *** A0A2G3CZQ5_CAPCH)	
Solyc03g117570	Pentatricopeptide repeat-containing protein, mitochondrial (AHRD V3.3 *** A0A2G3CZN8_CAPCH)	
Solyc03g117580	GAG1At protein (AHRD V3.3 *** AT1G16000.1)	
Solyc03g117660	RING/U-box superfamily protein (AHRD V3.3 *-* AT2G21500.2)	
Solyc03g117680	ATP-dependent DNA helicase (AHRD V3.3 *** Q9ZUI1_ARATH)	
Solyc03g117730	Tubby-like protein 8 (AHRD V3.3 *** A0A2G2WQC4_CAPBA)	
Solyc03g117760	Unknown protein	
Solyc03g117790	Serine/threonine-protein kinase OS.1	
Solyc03g117860	RBR-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G3A2R7_CAPAN)	
Solyc03g117890	ACT domain-containing protein (AHRD V3.3 *** A0A2U1QDU0_ARTAN)	
Solyc03g117900	Cytochrome C oxidase assembly factor (AHRD V3.3 *** Q8GWM1_ARATH)	
Solyc03g117930	FRIGIDA-like protein (AHRD V3.11 *** tr|A0A2G3A2S4|A0A2G3A2S4_CAPAN)	
Solyc03g117940	U2 small nuclear ribonucleoprotein A (AHRD V3.3 *** A0A2G2V8K0_CAPBA),Pfam:PF14580	
Solyc03g118030	Glutamyl-tRNA(Gln) amidotransferase subunit A (AHRD V3.3 *** A0A2K3P380_TRIPR)	
Solyc03g118100	NAD(P)-binding Rossmann-fold superfamily protein (AHRD V3.3 *** A0A2U1N555_ARTAN)	
Solyc03g118130	Rubredoxin (AHRD V3.3 *** A0A2K3LH61_TRIPR)	
Solyc03g118170	Glycine--tRNA ligase (AHRD V3.3 *** A0A2G3A2W4_CAPAN)	
Solyc03g118180	E3 ubiquitin-protein ligase ORTHRUS 2 (AHRD V3.3 *-* A0A2G2WQ73_CAPBA)	
Solyc03g118250	mRNA cap guanine-N7 methyltransferase (AHRD V3.3 *** A0A2G3CZT9_CAPCH)	
Solyc03g118270	GDP-mannose 4,6-dehydratase (AHRD V3.3 *** A0A2G3CZP5_CAPCH)	
Solyc03g118280	Pentatricopeptide repeat (AHRD V3.3 *** A0A200R3T1_9MAGN)	
Solyc03g118330	Receptor-like protein kinase (AHRD V3.3 *-* A0A2R6P698_ACTCH)	
Solyc03g118380	DNA-directed RNA polymerase ii subunit rpb7-like protein (AHRD V3.3 *** A0A2K3MTA8_TRIPR)	
Solyc03g118500	Chaperone protein DnaJ (AHRD V3.3 *** A0A1J3JVS7_NOCCA)	
Solyc03g118520	ATP-dependent helicase/deoxyribonuclease subunit B (AHRD V3.3 *-* AT3G51610.1)	
Solyc03g118540	Jasmonate ZIM domain protein e (AHRD V3.3 *-* I3WTA3_NICAT)	
Solyc03g118570	Geranylgeranyl transferase type-2 subunit beta (AHRD V3.3 *** A0A2G2WQD8_CAPBA)	
Solyc03g118620	Outer arm dynein light chain.1	
Solyc03g118630	transmembrane protein (AHRD V3.3 *** AT3G17950.1)	
Solyc03g118640	Ketose-bisphosphate aldolase class-II family protein (AHRD V3.3 *** Q8VYC5_ARATH)	
Solyc03g118670	ERAD-associated E3 ubiquitin-protein ligase component HRD3A (AHRD V3.3 *** A0A1J3CQU4_NOCCA)	
Solyc03g118680	Zinc finger protein VAR3, chloroplastic (AHRD V3.3 *** A0A2G2WQC9_CAPBA)	
Solyc03g118710	Calcium-dependent lipid-binding (CaLB domain) family protein (AHRD V3.3 *** A0A2U1LMA8_ARTAN)	
Solyc03g118720	Calcium-dependent lipid-binding (CaLB domain) family protein (AHRD V3.3 *** A0A2U1LMA8_ARTAN)	
Solyc03g118740	SlPIN1	
Solyc03g118750	phosphoethanolamine N-methyltransferase	
Solyc03g118780	Thaumatin-like protein (AHRD V3.3 *** A0A2G2WQ90_CAPBA)	
Solyc03g118810	Calcium-binding allergen Ole e 8 (AHRD V3.3 *** A0A2G2WQF6_CAPBA)	
Solyc03g118840	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1NS86_ARTAN)	
Solyc03g118870	Octicosapeptide/Phox/Bem1p family protein (AHRD V3.11 *** tr|A0A2K3L5A6|A0A2K3L5A6_TRIPR)	
Solyc03g119030	Peroxin-3 (AHRD V3.3 *** A0A2U1LRY0_ARTAN)	
Solyc03g119080	beta-mannosidase enzyme	
Solyc03g119110	GPI-anchored protein Chr3:6180931-6182593 FORWARD LENGTH=335 201606 (AHRD V3.11 *** AT3G18050.1)	
Solyc03g119130	HMG-Y-related protein A (AHRD V3.3 *-* A0A1J3HLT7_NOCCA)	
Solyc03g119150	Peptidylprolyl isomerase (AHRD V3.11 *** tr|A0A2G3D014|A0A2G3D014_CAPCH)	
Solyc03g119160	Ribosomal protein S24/S35 (AHRD V3.3 *-* A0A2U1PXL2_ARTAN)	
Solyc03g119170	Ribosomal protein S24/S35 (AHRD V3.3 *** A0A1P8B5A6_ARATH)	
Solyc03g119210	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain (AHRD V3.3 *** A0A200Q3B5_9MAGN)	
Solyc03g119240	Protein kinase family protein (AHRD V3.3 *** A0A2U1MH78_ARTAN)	
Solyc03g119250	Calmodulin binding protein-like (AHRD V3.11 *** tr|A0A200Q136|A0A200Q136_9MAGN)	
Solyc03g119270	AP-3 complex subunit delta (AHRD V3.3 *** A0A1U8FWE5_CAPAN)	
Solyc03g119450	Chloroplastic group IIA intron splicing facilitator CRS1, chloroplastic (AHRD V3.3 *** A0A1J3K5U5_NOCCA)	
Solyc03g160280	Mitogen activated protein kinase kinase (AHRD V3.11 *** tr|H8XXA4|H8XXA4_NICAT)	
Solyc03g119520	BnaC05g48200D protein (AHRD V3.11 *** tr|A0A078HZC2|A0A078HZC2_BRANA)	
Solyc03g119660	Protein PLANT CADMIUM RESISTANCE like (AHRD V3.3 *** A0A2R6QIE9_ACTCH)	
Solyc03g119750	polarity axis stabilization protein (AHRD V3.3 *** AT1G73930.2)	
Solyc03g119780	Transcription initiation factor TFIID subunit 2 (AHRD V3.3 *** A0A2G3A3D3_CAPAN)	
Solyc03g119840	Adenine nucleotide alpha hydrolases-like superfamily protein (AHRD V3.3 *** A0A2U1MLI4_ARTAN)	
Solyc03g119990	Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** A0A2U1NI49_ARTAN)	
Solyc03g120020	HCO3-transporter family (AHRD V3.3 *** A0A2U1LER8_ARTAN)	
Solyc03g120040	DUF642 domain-containing protein (AHRD V3.3 *** A0A1Q3BMB3_CEPFO)	
Solyc03g120080	periodic tryptophan protein 2 homolog (AHRD V3.3 *** A0A2I4EVX9_9ROSI)	
Solyc03g120090	Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID)	
Solyc03g120120	Regulator of Vps4 activity in the MVB pathway protein (AHRD V3.3 *-* Q8L402_ARATH)	
Solyc03g120130	Methyltransferase family protein (AHRD V3.3 *** A0A2U1M665_ARTAN)	
Solyc03g120170	Protein kinase, catalytic domain-containing protein (AHRD V3.3 -** A0A2U1L8L5_ARTAN)	
Solyc03g120200	RNA helicase DEAH-box11	
Solyc03g120270	Coatomer subunit beta' (AHRD V3.3 *** A0A200PNW4_9MAGN)	
Solyc03g120320	F-box/kelch-repeat protein (AHRD V3.3 *** A0A1J3DG12_NOCCA)	
Solyc03g120340	centromere protein C1	
Solyc03g120350	N-alpha-acetyltransferase 15, NatA auxiliary subunit-like (AHRD V3.3 *** A0A2I4GME8_9ROSI)	
Solyc03g120420	Unknown protein	
Solyc03g120450	Aminotransferase (AHRD V3.3 *** A0A200PN75_9MAGN)	
Solyc03g120460	Pentatricopeptide repeat (AHRD V3.11 *** tr|A0A200PVT3|A0A200PVT3_9MAGN)	
Solyc03g120470	tonoplast intrinsic protein 2.2	
Solyc03g120490	DNA-directed RNA polymerase subunit beta (AHRD V3.3 *** AT3G16200.1)	
Solyc03g120510	Pentatricopeptide repeat-containing protein at3g46870-like protein (AHRD V3.3 *** A0A2K3P313_TRIPR)	
Solyc03g120580	Unknown protein	
Solyc03g120600	Plant cadmium resistance protein (AHRD V3.3 *** Q2HU50_MEDTR)	
Solyc03g120680	2-hydroxyacid dehydrogenase (AHRD V3.3 *** A9CH04_AGRFC)	
Solyc03g120700	Vps51/Vps67 family (Components of vesicular transport) protein (AHRD V3.3 *** F4KCR7_ARATH)	
Solyc03g120730	Sulfite exporter TauE/SafE family protein (AHRD V3.3 *** A0A2U1KY14_ARTAN)	
Solyc03g120810	Kinesin-like protein (AHRD V3.3 *** Q9AVP4_TOBAC)	
Solyc03g120970	Non-heme dioxygenase N-terminal domain (AHRD V3.3 *** A0A200RBZ8_9MAGN)	
Solyc03g120990	Malic enzyme (AHRD V3.3 *** A0A2G3D1G2_CAPCH)	
Solyc03g121010	Unknown protein	
Solyc03g121030	MMS19 nucleotide excision repair protein-like protein (AHRD V3.3 *** A0A1J3J2C2_NOCCA)	
Solyc03g121050	LysM domain receptor-like kinase 3 (AHRD V3.3 *** A0A2G3D1H3_CAPCH)	
Solyc03g121260	23S rRNA (Uracil-5-)-methyltransferase rumA (AHRD V3.3 *** A0A2K3PEV5_TRIPR)	
Solyc03g121540	beta-galactosidase 3	
Solyc03g121570	Transmembrane 9 superfamily member (AHRD V3.3 *** A0A2G2XXI0_CAPAN)	
Solyc03g121600	Glucose-methanol-choline (GMC) oxidoreductase family protein (AHRD V3.3 *** A0A2U1MMK8_ARTAN)	
Solyc03g121850	hypothetical protein (AHRD V3.3 *-* AT1G05950.4)	
Solyc03g121870	Methyltransferase-like protein (AHRD V3.3 *** A0A2G3D0I7_CAPCH),Pfam:PF13489	
Solyc03g121900	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain containing protein (AHRD V3.3 *** A0A2P5DNS6_PARAD)	
Solyc03g121930	PHD finger protein ALFIN-LIKE 5 (AHRD V3.3 *** A0A2G2WQ36_CAPBA)	
Solyc03g122070	ABC transporter (AHRD V3.3 *-* A0A200QCT2_9MAGN)	
Solyc03g122080	DUF936 domain-containing protein (AHRD V3.3 *** A0A1Q3B0V3_CEPFO)	
Solyc03g122110	Pre-mRNA-splicing factor CWC22-like protein (AHRD V3.3 *** A0A2G2ZS42_CAPAN)	
Solyc03g122240	Exocyst subunit Exo70 family protein (AHRD V3.3 *** A0A2G3D0E6_CAPCH)	
Solyc03g122270	Inter-alpha-trypsin inhibitor heavy chain-like protein (AHRD V3.3 *** Q8L798_ARATH)	
Solyc03g122300	DUF1677 family protein (DUF1677) (AHRD V3.3 *** Q9SK23_ARATH)	
Solyc03g122360	Cytochrome P450 (AHRD V3.3 *** Q43795_TOBAC)	
Solyc03g123410	Germin-like protein.1	
Solyc03g123440	DNA demethylase 4	
Solyc03g123560	Chaperone protein DnaJ (AHRD V3.3 *-* A0A1J3IS52_NOCCA)	
Solyc03g123590	Remorin (AHRD V3.3 *** A0A200Q464_9MAGN)	
Solyc03g123720	O-fucosyltransferase family protein (AHRD V3.3 *** F4HTC2_ARATH)	
Solyc03g123860	Receptor-like protein kinase INRPK1c	
Solyc03g123870	Exocyst complex component EXO84B (AHRD V3.3 *** A0A1U8FU49_CAPAN)	
Solyc03g123890	Calcium-transporting ATPase (AHRD V3.3 *** A0A2G3A3P1_CAPAN)	
Solyc03g123990	Mitochondrial carrier protein (AHRD V3.3 *-* A0A200R951_9MAGN)	
Solyc03g124010	p-loop containing nucleoside triphosphate hydrolases superfamily protein (AHRD V3.3 *** A0A1P8AT95_ARATH)	
Solyc03g124068	Ent-kaurene synthase (AHRD V3.11 *** tr|G5CV50|G5CV50_SOLLC)	
Solyc04g005030	Phosphoglucosamine mutase family protein (AHRD V3.3 *** A0A2U1MUU8_ARTAN)	
Solyc04g005060	TPX2 domain-containing protein (AHRD V3.3 *** A0A1Q3CMC0_CEPFO)	
Solyc04g005070	Major facilitator superfamily protein (AHRD V3.3 *** A0A2U1N7S7_ARTAN)	
Solyc04g005090	Cofactor assembly of complex C (AHRD V3.3 *** A0A1P8ASR1_ARATH)	
Solyc04g005160	6-phosphogluconate dehydrogenase, decarboxylating (AHRD V3.3 *** A0A1U8F1N4_CAPAN)	
Solyc04g005250	cytosine-5 DNA methyltransferase1	
Solyc04g005290	18S pre-ribosomal assembly protein gar2-like protein (AHRD V3.3 *-* AT2G03810.7)	
Solyc04g005330	Transducin/WD40 repeat-like superfamily protein (AHRD V3.3 *** A0A2U1N878_ARTAN)	
Solyc04g005340	Alpha-1,4-glucan-protein synthase [udp-forming].1	
Solyc04g005460	Pentatricopeptide repeat (AHRD V3.3 *** A0A200QNY2_9MAGN)	
Solyc04g005490	Appr-1-p processing enzyme family protein (AHRD V3.3 *** A0A2U1M8F6_ARTAN)	
Solyc04g005560	ARF guanine-nucleotide exchange factor GNOM (AHRD V3.3 *** A0A1U8HBB7_CAPAN)	
Solyc04g005630	Transcription termination factor 3, mitochondrial (AHRD V3.3 *** A0A1J3JQF8_NOCCA)	
Solyc04g005780	Glyoxal oxidase (AHRD V3.3 *** A0A200PQ20_9MAGN)	
Solyc04g005820	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC)	
Solyc04g005830	P-loop containing nucleoside triphosphate hydrolases superfamily protein (AHRD V3.3 *** A0A2U1KZ59_ARTAN)	
Solyc04g005900	F-box/FBD/LRR-repeat protein (AHRD V3.3 *** A0A2G3CFK0_CAPCH)	
Solyc04g005910	Protein nsp-interacting kinase 2 (AHRD V3.3 *** A0A314KJ76_NICAT)	
Solyc04g006970	Phosphoenolpyruvate carboxylase (AHRD V3.3 *** A6YM33_RICCO)	
Solyc04g007010	Sn-2 protein (AHRD V3.3 *** Q39467_CAPAN)	
Solyc04g007030	Disease resistance protein (AHRD V3.3 *** A0A2U1N8H9_ARTAN)	
Solyc04g007070	Disease resistance protein (AHRD V3.3 *** A0A2U1N8H9_ARTAN)	
Solyc04g007150	Glycoside hydrolase family .1	
Solyc04g007220	translocase subunit seca (AHRD V3.3 *** AT1G13390.2)	
Solyc04g007410	transmembrane protein (AHRD V3.3 *-* AT3G45050.4)	
Solyc04g007460	Phox/Bem1p (AHRD V3.11 *** tr|A0A200QUY9|A0A200QUY9_9MAGN)	
Solyc04g007510	Helicase (AHRD V3.3 *** A0A200QUR7_9MAGN)	
Solyc04g007550	ATP synthase subunit beta (AHRD V3.3 *** A0A2G2WS30_CAPBA)	
Solyc04g007580	DUF4228 domain-containing protein (AHRD V3.3 *** A0A1Q3CT45_CEPFO)	
Solyc04g007600	RING/FYVE/PHD zinc finger superfamily protein (AHRD V3.3 *-* A0A2U1L203_ARTAN)	
Solyc04g007610	Sulfhydryl oxidase (AHRD V3.3 *** A0A2G2ZHI0_CAPAN)	
Solyc04g007690	SlPIN3	
Solyc04g007700	transmembrane protein (AHRD V3.3 *** AT1G14990.1)	
Solyc04g007710	mitogen-activated protein kinase 14	
Solyc04g007760	Sn.1	
Solyc04g007790	Sn.1	
Solyc04g007910	Glucan endo-1,3-beta-glucosidase 3, putative, expressed (AHRD V3.3 *** Q8H822_ORYSJ)	
Solyc04g007960	Caleosin (AHRD V3.3 *** A0A200QL80_9MAGN)	
Solyc04g007970	Ubiquitin-conjugating enzyme variant (AHRD V3.3 *** V5KX13_SOLLC)	
Solyc04g007990	hypothetical protein (AHRD V3.3 *** AT1G67920.1)	
Solyc04g008060	Vacuolar iron transporter (AHRD V3.3 *** C4B8E3_TULGE)	
Solyc04g008090	PLATZ transcription factor family protein (AHRD V3.11 *** tr|A0A2U1NTE5|A0A2U1NTE5_ARTAN)	
Solyc04g008210	ETAG-A3	
Solyc04g008230	Pectin lyase-like superfamily protein (AHRD V3.3 *** A0A2U1PE89_ARTAN)	
Solyc04g008450	Potassium transporter (AHRD V3.3 *** A0A2G3CF51_CAPCH)	
Solyc04g008510	UBX domain-containing protein (AHRD V3.3 *** A0A2G3CF49_CAPCH)	
Solyc04g008560	PPR containing protein (AHRD V3.3 *** AT2G02148.5)	
Solyc04g008660	ADP-ribosylation factor GTPase-activating protein AGD4 (AHRD V3.3 *** A0A2G3CEZ9_CAPCH)	
Solyc04g008690	DUF3755 domain-containing protein (AHRD V3.3 *** A0A1Q3D9X4_CEPFO)	
Solyc04g008700	Pre-mRNA-processing protein 40C (AHRD V3.3 *** A0A2G2ZGP4_CAPAN)	
Solyc04g008750	Transcription elongation factor SPT4 homolog (AHRD V3.3 *** A0A1U8GMM7_CAPAN)	
Solyc04g008790	Ribosomal protein .1	
Solyc04g008860	Protein arginine N-methyltransferase (AHRD V3.11 *** tr|A0A2U1N672|A0A2U1N672_ARTAN)	
Solyc04g008890	Splicing factor subunit (AHRD V3.3 *** V4M5F2_EUTSA)	
Solyc04g008900	Transmembrane protein, putative (DUF247) (AHRD V3.3 *** Q9SN03_ARATH)	
Solyc04g008910	UPF04.1	
Solyc04g009000	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G2ZGM3_CAPAN)	
Solyc04g009010	Protein-S-isoprenylcysteine O-methyltransferase (AHRD V3.3 *** A0A2G2ZGM0_CAPAN)	
Solyc04g009020	High chlorophyll fluorescent 107 (AHRD V3.3 *** F4J3Z3_ARATH)	
Solyc04g009060	CD2 antigen cytoplasmic tail-binding protein (AHRD V3.3 *** A0A2K3N4E5_TRIPR)	
Solyc04g009160	transcriptional regulator ATRX homolog isoform X2 (AHRD V3.3 *-* XP_026387379.1)	
Solyc04g009230	Thioredoxin-like protein 4A (AHRD V3.11 *** tr|A0A1U8FZJ9|A0A1U8FZJ9_CAPAN)	
Solyc04g009330	Serine/threonine-protein kinase Aurora-3 (AHRD V3.3 *** A0A2G2ZF68_CAPAN)	
Solyc04g009453	Mediator of RNA polymerase II transcription subunit 15a (AHRD V3.3 *-* A0A2G2ZG46_CAPAN)	
Solyc04g009470	Unknown protein	
Solyc04g009480	mediator of RNA polymerase II transcription subunit 15a isoform X2 (AHRD V3.3 --* XP_004236822.1)	
Solyc04g009510	RNA binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *-* Q9M1E4_ARATH)	
Solyc04g009530	Glutathione S-transferase (AHRD V3.3 *** A0A200QHH9_9MAGN)	
Solyc04g009700	Dual specificity phosphatase (AHRD V3.3 *** A0A200Q6D2_9MAGN)	
Solyc04g009720	Pentatricopeptide repeat-containing protein (AHRD V3.3 *-* A0A2I0WCG1_9ASPA)	
Solyc04g009730	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2I0WCG1_9ASPA)	
Solyc04g009810	Protein pelota homolog (AHRD V3.3 *** R4NBR3_SOLPE)	
Solyc04g009820	GRF1-interacting factor.1	
Solyc04g009870	Unknown protein	
Solyc04g010090	Transcription initiation factor TFIID subunit 9 (AHRD V3.3 *** A0A1U8GVQ5_CAPAN)	
Solyc04g010140	Unknown protein	
Solyc04g010200	ABC transporter G family member (AHRD V3.3 *** A0A2K3PJ14_TRIPR)	
Solyc04g010220	centrosomal protein of 135 kDa-like protein (AHRD V3.3 *** AT2G37370.3)	
Solyc04g010260	Splicing factor 3B subunit 3 (AHRD V3.3 *** A0A2G3CE29_CAPCH)	
Solyc04g010300	ABC transporter B family member 20 (AHRD V3.3 *-* A0A2G2ZFT7_CAPAN)	
Solyc04g011350	2-oxoglutarate dehydrogenase, .1	
Solyc04g011440	ethylene-responsive heat shock protein cognate 70	
Solyc04g011460	FYD (AHRD V3.3 *** AT3G12570.4)	
Solyc04g150108	Unknown protein	
Solyc04g011560	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.11 *-* tr|F4IIL5|F4IIL5_ARATH)	
Solyc04g011610	RING/U-box superfamily protein (AHRD V3.3 *** A0A1I9LQQ9_ARATH)	
Solyc04g011615	Unknown protein	
Solyc04g011620	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2XA59_CAPBA)	
Solyc04g011640	Transcription factor GRAS (AHRD V3.11 *** tr|A0A200R547|A0A200R547_9MAGN)	
Solyc04g011690	Cytochrome (AHRD V3.11 *** tr|A0A2G3CDZ6|A0A2G3CDZ6_CAPCH)	
Solyc04g011770	Unknown protein	
Solyc04g011990	Disease resistance protein (AHRD V3.11 *** tr|A0A2U1Q201|A0A2U1Q201_ARTAN)	
Solyc04g012140	Unknown protein	
Solyc04g012180	Ras-related protein Rab11A (AHRD V3.11 *** tr|A0A1U8GVA9|A0A1U8GVA9_CAPAN)	
Solyc04g012185	Receptor-like protein kinase (AHRD V3.11 *-* tr|A0A2R6Q6W2|A0A2R6Q6W2_ACTCH)	
Solyc04g014240	Mediator of RNA polymerase II transcription subunit 4 (AHRD V3.3 *** A0A2G3CDH2_CAPCH)	
Solyc04g014310	Unknown protein	
Solyc04g014390	54S ribosomal protein L51, mitochondrial (AHRD V3.3 *** A0A1J3CY67_NOCCA)	
Solyc04g014480	15.7 kDa heat shock protein, peroxisomal (AHRD V3.3 *** A0A1U8GLK8_CAPAN)	
Solyc04g014490	B-cell receptor-associated-like protein (AHRD V3.3 *** Q9FFJ0_ARATH)	
Solyc04g014500	Nudix hydrolase 4 (AHRD V3.3 *** A0A2G2XAD0_CAPBA)	
Solyc04g014540	Zinc finger protein 3 (AHRD V3.3 *** A0A2G2XAC6_CAPBA)	
Solyc04g014570	Transmembrane 9 superfamily member (AHRD V3.3 *** A0A2G3CDP8_CAPCH)	
Solyc04g014600	Adenine nucleotide alpha hydrolases-like superfamily protein (AHRD V3.3 *** A0A2U1NYH2_ARTAN)	
Solyc04g014610	Armadillo repeat-containing protein 7-like (AHRD V3.3 *** A0A2K3L4G0_TRIPR)	
Solyc04g014645	LRR receptor-like serine/threonine-protein kinase EFR (AHRD V3.3 *-* A0A1U8GVB4_CAPAN)	
Solyc04g014680	Ubiquitin-specific protease family C19 protein (AHRD V3.3 *-* A0A2K3NKS0_TRIPR)	
Solyc04g014690	MAP kinase kinase kinase 32	
Solyc04g014710	golgin family A protein (AHRD V3.3 *** AT4G22320.1)	
Solyc04g014800	myo-inositol monophosphatase 1	
Solyc04g014810	RING-type E3 ubiquitin transferase (AHRD V3.3 *-* A0A2I0XD88_9ASPA)	
Solyc04g014870	RNA-dependent RNA polymerase6a	
Solyc04g014883	LRR receptor-like serine/threonine-protein kinase EFR (AHRD V3.11 *-* tr|A0A1U8GVB4|A0A1U8GVB4_CAPAN)	
Solyc04g014940	Unknown protein	
Solyc04g014990	Glycosyltransferase (AHRD V3.3 *-* A0A0A1WCT3_NICAT)	
